iter	Logloss
0	0.679695075
1	0.6672423359
2	0.6553492743
3	0.6449002907
4	0.6370099948
5	0.628578001
6	0.6203682936
7	0.6120000341
8	0.6052554317
9	0.5987902762
10	0.5923858512
11	0.5862279612
12	0.5801847842
13	0.5743051221
14	0.5689745153
15	0.5642248309
16	0.5597204625
17	0.5551504443
18	0.5513581672
19	0.5478984055
20	0.5442763477
21	0.5412201058
22	0.5376199023
23	0.5351148053
24	0.5320234312
25	0.5295448466
26	0.5270236855
27	0.5245093157
28	0.522618793
29	0.5206079415
30	0.5187361822
31	0.5166462287
32	0.5148489132
33	0.5131827231
34	0.5115614604
35	0.5102486386
36	0.5087923711
37	0.5074490753
38	0.5056868484
39	0.5045885203
40	0.5032634218
41	0.5018083298
42	0.5002562432
43	0.4990745468
44	0.4981758237
45	0.4971700497
46	0.4960877858
47	0.4949575035
48	0.4937062828
49	0.4926852717
50	0.4922031288
51	0.4911681432
52	0.4903046394
53	0.4896521466
54	0.4885304841
55	0.4878647134
56	0.4871606759
57	0.4865045262
58	0.4858231701
59	0.485150695
60	0.4843697759
61	0.4837092727
62	0.4831886455
63	0.4824291888
64	0.481902162
65	0.4813363896
66	0.4808307381
67	0.4802251753
68	0.4798489079
69	0.479129024
70	0.4786064377
71	0.4780097123
72	0.477541631
73	0.4771170841
74	0.4765079079
75	0.4760398701
76	0.4756885915
77	0.4751266501
78	0.4748031028
79	0.4744298829
80	0.4739218806
81	0.4733973787
82	0.4729145828
83	0.4724335718
84	0.4721611339
85	0.4717280106
86	0.4714683282
87	0.471160671
88	0.4706307709
89	0.4703200227
90	0.4699788876
91	0.4695151597
92	0.4692086779
93	0.4689114689
94	0.4684275846
95	0.4681046033
96	0.4678549338
97	0.4674424894
98	0.4669726232
99	0.4666922184
100	0.4663226989
101	0.466031367
102	0.4657177456
103	0.4652359945
104	0.4650309912
105	0.4649884582
106	0.4646836742
107	0.4642263459
108	0.4639635725
109	0.4638593949
110	0.4636818618
111	0.4634454267
112	0.4632016779
113	0.4629357266
114	0.4624538013
115	0.4621291222
116	0.4614548187
117	0.4611360602
118	0.4606223113
119	0.4601645912
120	0.460038864
121	0.4598097427
122	0.459652932
123	0.4595952925
124	0.4594131013
125	0.4589378803
126	0.4584671869
127	0.4581709792
128	0.4577857003
129	0.4575528786
130	0.4572550166
131	0.4571333816
132	0.4568686492
133	0.4566219836
134	0.456303791
135	0.4559456775
136	0.4558460709
137	0.4556873447
138	0.4554889151
139	0.4551869609
140	0.4550538328
141	0.4548356822
142	0.4545447422
143	0.4542179733
144	0.4540064835
145	0.4539023058
146	0.4537256869
147	0.4536128024
148	0.4535328298
149	0.453507188
150	0.4532384505
151	0.4530423718
152	0.4527148194
153	0.4522138261
154	0.4517471379
155	0.4513841049
156	0.4510448853
157	0.45087915
158	0.4507671797
159	0.4506115879
160	0.4504218652
161	0.4500263122
162	0.449473513
163	0.4492807429
164	0.4490546255
165	0.4488381727
166	0.4483487161
167	0.4480648721
168	0.4475776792
169	0.4473894367
170	0.447388566
171	0.4472668004
172	0.4469438191
173	0.4464889287
174	0.4461342544
175	0.4458709151
176	0.4456771872
177	0.4453327435
178	0.4452639157
179	0.445128045
180	0.4449263939
181	0.4445260955
182	0.4443449926
183	0.4440001135
184	0.4436262406
185	0.4434709971
186	0.4430699587
187	0.4428957342
188	0.4426475884
189	0.4426115855
190	0.4423424126
191	0.4421215193
192	0.4418242233
193	0.4417152568
194	0.4412310678
195	0.4411646779
196	0.4406636411
197	0.4404217642
198	0.4401729654
199	0.4399663079
200	0.4397625671
201	0.4393671882
202	0.4390615771
